,comment_text,toxic,severe_toxic,obscene,threat,insult,identity_hate
330,"I am not here to be constructive, I am here to prove that Wikipedia is nothing but a bunch of hypocrites and liars.",1,0,0,0,0,0
2994,NIGGA PLEASENigga Please!Nigga Please!Nigga Please!Nigga Please!Nigga Please!Nigga Please!Nigga Please!Nigga Please!Nigga Please!Nigga Please!Nigga Please!Nigga Please!Nigga Please!Nigga Please!Nigga Please!Nigga Please!Nigga Please!Nigga Please!Nigga Please!Nigga Please!Nigga Please!Nigga Please!Nigga Please!Nigga Please!Nigga Please!Nigga Please!Nigga Please!Nigga Please!Nigga Please!Nigga Please!Nigga Please!Nigga Please!Nigga Please!Nigga Please!Nigga Please!Nigga Please!Nigga Please!Nigga Please!Nigga Please!Nigga Please!Nigga Please!Nigga Please!Nigga Please!Nigga Please!Nigga Please!Nigga Please!Nigga Please!Nigga Please!Nigga Please!Nigga Please!Nigga Please!Nigga Please!Nigga Please!Nigga Please!Nigga Please!Nigga Please!Nigga Please!Nigga Please!Nigga Please!Nigga Please!Nigga Please!Nigga Please!Nigga Please!Nigga Please!Nigga Please!Nigga Please!Nigga Please!Nigga Please!Nigga Please!Nigga Please!Nigga Please!Nigga Please!Nigga Please!Nigga Please!Nigga Please!Nigga Please!Nigga Please!Nigga Please!Nigga Please!Nigga Please!Nigga Please!Nigga Please!Nigga Please!Nigga Please!Nigga Please!Nigga Please!Nigga Please!Nigga Please!Nigga Please!Nigga Please!Nigga Please!Nigga Please!Nigga Please!Nigga Please!Nigga Please!Nigga Please!Nigga Please!Nigga Please!Nigga Please!Nigga Please!Nigga Please!Nigga Please!Nigga Please!Nigga Please!Nigga Please!Nigga Please!Nigga Please!Nigga Please!Nigga Please!Nigga Please!Nigga Please!Nigga Please!Nigga Please!Nigga Please!Nigga Please!Nigga Please!Nigga Please!Nigga Please!Nigga Please!Nigga Please!Nigga Please!Nigga Please!Nigga Please!Nigga Please!Nigga Please!Nigga Please!Nigga Please!Nigga Please!Nigga Please!Nigga Please!Nigga Please!Nigga Please!Nigga Please!Nigga Please!Nigga Please!Nigga Please!Nigga Please!Nigga Please!Nigga Please!Nigga Please!Nigga Please!Nigga Please!Nigga Please!Nigga Please!Nigga Please!Nigga Please!Nigga Please!Nigga Please!Nigga Please!Nigga Please!Nigga Please!Nigga Please!Nigga Please!Nigga Please!Nigga Please!Nigga Please!Nigga Please!Nigga Please!Nigga Please!Nigga Please!Nigga Please!Nigga Please!Nigga Please!Nigga Please!Nigga Please!Nigga Please!Nigga Please!Nigga Please!Nigga Please!Nigga Please!Nigga Please!Nigga Please!Nigga Please!Nigga Please!Nigga Please!Nigga Please!Nigga Please!Nigga Please!Nigga Please!Nigga Please!Nigga Please!Nigga Please!Nigga Please!Nigga Please!Nigga Please!Nigga Please!Nigga Please!Nigga Please!Nigga Please!Nigga Please!Nigga Please!Nigga Please!Nigga Please!Nigga Please!Nigga Please!Nigga Please!Nigga Please!Nigga Please!Nigga Please!Nigga Please!Nigga Please!Nigga Please!Nigga Please!Nigga Please!Nigga Please!Nigga Please!Nigga Please!Nigga Please!Nigga Please!Nigga Please!Nigga Please!Nigga Please!Nigga Please!Nigga Please!Nigga Please!Nigga Please!Nigga Please!Nigga Please!Nigga Please!Nigga Please!Nigga Please!Nigga Please!Nigga Please!Nigga Please!Nigga Please!Nigga Please!Nigga Please!Nigga Please!Nigga Please!Nigga Please!Nigga Please!Nigga Please!Nigga Please!Nigga Please!Nigga Please!Nigga Please!Nigga Please!Nigga Please!Nigga Please!Nigga Please!Nigga Please!Nigga Please!Nigga Please!Nigga Please!Nigga Please!Nigga Please!Nigga Please!Nigga Please!Nigga Please!Nigga Please!Nigga Please!Nigga Please!Nigga Please!Nigga Please!Nigga Please!Nigga Please!Nigga Please!Nigga Please!Nigga Please!Nigga Please!Nigga Please!Nigga Please!Nigga Please!Nigga Please!Nigga Please!Nigga Please!Nigga Please!Nigga Please!Nigga Please!Nigga Please!Nigga Please!Nigga Please!Nigga Please!Nigga Please!Nigga Please!Nigga Please!Nigga Please!Nigga Please!Nigga Please!Nigga Please!Nigga Please!Nigga Please!Nigga Please!Nigga Please!Nigga Please!Nigga Please!Nigga Please!Nigga Please!Nigga Please!Nigga Please!Nigga Please!Nigga Please!Nigga Please!Nigga Please!Nigga Please!Nigga Please!Nigga Please!Nigga Please!Nigga Please!Nigga Please!Nigga Please!Nigga Please!Nigga Please!Nigga Please!Nigga Please!Nigga Please!Nigga Please!Nigga Please!Nigga Please!Nigga Please!Nigga Please!Nigga Please!Nigga Please!Nigga Please!Nigga Please!Nigga Please!Nigga Please!Nigga Please!Nigga Please!Nigga Please!Nigga Please!Nigga Please!Nigga Please!Nigga Please!Nigga Please!Nigga Please!Nigga Please!Nigga Please!Nigga Please!Nigga Please!Nigga Please!Nigga Please!Nigga Please!Nigga Please!Nigga Please!Nigga Please!Nigga Please!Nigga Please!Nigga Please!Nigga Please!Nigga Please!Nigga Please!Nigga Please!Nigga Please!Nigga Please!Nigga Please!Nigga Please!Nigga Please!Nigga Please!Nigga Please!Nigga Please!Nigga Please!Nigga Please!Nigga Please!Nigga Please!Nigga Please!Nigga Please!Nigga Please!Nigga Please!Nigga Please!Nigga Please!Nigga Please!Nigga Please!Nigga Please!Nigga Please!Nigga Please!Nigga Please!Nigga Please!Nigga Please!Nigga Please!Nigga Please!Nigga Please!Nigga Please!Nigga Please!Nigga Please!Nigga Please!Nigga Please!Nigga Please!Nigga Please!Nigga Please!Nigga Please!Nigga Please!Nigga Please!Nigga Ple,0,0,0,0,1,0
1442,FUCK U WHO EVER SAID THAT ABOUT LIL'KIM SHE IS NOT A PORN STAR,0,0,1,0,0,0
2205,THIS IS MY FUCKING CUNT PAGE FUCK ASS WHORE. EAT A DEAD NIGGER BABY. I DO WAT I WANT HERE OR YOU GO MURDER YOUR OWN MOTHER WITH MY DICK,0,0,0,1,1,0
282,AW I WANT TO BLOCK WERT WERT NAH YOU FUCKING TERDS,1,0,0,0,0,0
654,you bastards..Hell is waiting for you motherfuckers..you bastards..Hell is waiting for you motherfuckers..you bastards..Hell is waiting for you motherfuckers..you bastards..Hell is waiting for you motherfuckers..you bastards..Hell is waiting for you motherfuckers..you bastards..Hell is waiting for you motherfuckers..you bastards..Hell is waiting for you motherfuckers..you bastards..Hell is waiting for you motherfuckers..you bastards..Hell is waiting for you motherfuckers..you bastards..Hell is waiting for you motherfuckers..you bastards..Hell is waiting for you motherfuckers..you bastards..Hell is waiting for you motherfuckers..you bastards..Hell is waiting for you motherfuckers..you bastards..Hell is waiting for you motherfuckers..you bastards..Hell is waiting for you motherfuckers..you bastards..Hell is waiting for you motherfuckers..you bastards..Hell is waiting for you motherfuckers..you bastards..Hell is waiting for you motherfuckers..you bastards..Hell is waiting for you motherfuckers..you bastards..Hell is waiting for you motherfuckers..you bastards..Hell is waiting for you motherfuckers..you bastards..Hell is waiting for you motherfuckers..you bastards..Hell is waiting for you motherfuckers..you bastards..Hell is waiting for you motherfuckers..you bastards..Hell is waiting for you motherfuckers..you bastards..Hell is waiting for you motherfuckers..you bastards..Hell is waiting for you motherfuckers..you bastards..Hell is waiting for you motherfuckers..you bastards..Hell is waiting for you motherfuckers..you bastards..Hell is waiting for you motherfuckers..you bastards..Hell is waiting for you motherfuckers..you bastards..Hell is waiting for you motherfuckers..you bastards..Hell is waiting for you motherfuckers..you bastards..Hell is waiting for you motherfuckers..you bastards..Hell is waiting for you motherfuckers..you bastards..Hell is waiting for you motherfuckers..you bastards..Hell is waiting for you motherfuckers..you bastards..Hell is waiting for you motherfuckers..you bastards..Hell is waiting for you motherfuckers..you bastards..Hell is waiting for you motherfuckers..you bastards..Hell is waiting for you motherfuckers..you bastards..Hell is waiting for you motherfuckers..you bastards..Hell is waiting for you motherfuckers..you bastards..Hell is waiting for you motherfuckers..you bastards..Hell is waiting for you motherfuckers..you bastards..Hell is waiting for you motherfuckers..you bastards..Hell is waiting for you motherfuckers..you bastards..Hell is waiting for you motherfuckers..you bastards..Hell is waiting for you motherfuckers..you bastards..Hell is waiting for you motherfuckers..you bastards..Hell is waiting for you motherfuckers..you bastards..Hell is waiting for you motherfuckers..you bastards..Hell is waiting for you motherfuckers..you bastards..Hell is waiting for you motherfuckers..you bastards..Hell is waiting for you motherfuckers..you bastards..Hell is waiting for you motherfuckers..you bastards..Hell is waiting for you motherfuckers..you bastards..Hell is waiting for you motherfuckers..you bastards..Hell is waiting for you motherfuckers..you bastards..Hell is waiting for you motherfuckers..you bastards..Hell is waiting for you motherfuckers..you bastards..Hell is waiting for you motherfuckers..you bastards..Hell is waiting for you motherfuckers..you bastards..Hell is waiting for you motherfuckers..you bastards..Hell is waiting for you motherfuckers..you bastards..Hell is waiting for you motherfuckers..you bastards..Hell is waiting for you motherfuckers..you bastards..Hell is waiting for you motherfuckers..you bastards..Hell is waiting for you motherfuckers..you bastards..Hell is waiting for you motherfuckers..you bastards..Hell is waiting for you motherfuckers..you bastards..Hell is waiting for you motherfuckers..you bastards..Hell is waiting for you motherfuckers..you bastards..Hell is waiting for you motherfuckers..you bastards..Hell is waiting for you motherfuckers..you bastards..Hell is waiting for you motherfuckers..you bastards..Hell is waiting for you motherfuckers..you bastards..Hell is waiting for you motherfuckers..you bastards..Hell is waiting for you motherfuckers..you bastards..Hell is waiting for you motherfuckers..you bastards..Hell is waiting for you motherfuckers..you bastards..Hell is waiting for you motherfuckers..you bastards..Hell is waiting for you motherfuckers..you bastards..Hell is waiting for you motherfuckers..you bastards..Hell is waiting for you motherfuckers..you bastards..Hell is waiting for you motherfuckers..you bastards..Hell is waiting for you motherfuckers..you bastards..Hell is waiting for you motherfuckers..you bastards..Hell is waiting for you motherfuckers..you bastards..Hell is waiting for you motherfuckers..you bastards..Hell is waiting for you motherfuckers..you bastards..Hell is waiting for you motherfuckers..you bastards..Hell is waiting for you,1,0,0,0,0,0
2535,WAS UP EL DAWG! KILL ALL NIGERZ K? K BBY! SPODERMAN <3,0,0,0,1,0,1
1008,{{|unblock|Lick my hairy nuts you negroes and jews.}},0,1,0,0,0,0
1502,"""
{| class=""""user-block""""
|
WARNING!!!


This user molests children and is also FUCKING UGLY
""",0,0,1,0,1,0
2359,"== YOU SUCK!!! == 

 YOU REALLY REALLY REALLY SUCK. YOU ARE A PIECE OF FREAKING CRAP AND YOU DESERVE TO DIE. YOU THINK YOU CAN DO WHATEVER YOU WANT TO PEOPLE WHO JUST WANT TO HAVE FUN. YOU SUUUUUUCCCCCKKKKK 
 == YOU SUCK!!!!!!!!!!! ==",0,0,0,1,0,0
